# Auto-generated corpus rows (v2). Hand-curate before committing.
# Format: id, category, expected_depth_n, expected_score_range, fen [; expected_best_move_raw,...]
# Curation target: ~5 rows per bucket after review.

# --- opening-with-skills (20 candidates) ---
opening-with-skills-01, opening-with-skills, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/0/0/15/5]c[2/0/0/12/6]1/1gggggg1/8/8/8/8/1GGGGGG1/1C[2/0/0/5/7]C[2/0/0/5/13]K[2/0/0/9/5]C[2/0/0/4/9]C[2/0/0/7/15]C[2/0/0/7/2]1 P1 M 2 6 6 0 1 0x0
skill-phase-full-20, skill-phase-full, -, -, 1c[2/0/0/14/13]1c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/2g3g1/2g5/2ggGc[2/0/0/13/12]2/8/8/1GG2GG1/1C[2/0/0/7/5]C[2/0/0/2/7]K[2/0/0/1/13]C[2/2/0/11/6]C[2/0/0/7/13]C[2/2/0/6/1]1 P2 S 2 0 4 0 2 0x0

# --- combo-loaded (20 candidates) ---
combo-loaded-01, combo-loaded, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/2/0/15/5]c[2/2/0/12/6]1/8/5g[2/1/0/0/0]2/4Gg[1/0/0/0/0]2/2K[2/0/0/9/5]5/4C[2/0/0/4/9]3/5G2/1C[2/0/0/5/7]C[2/0/0/5/13]2C[2/0/0/7/15]C[2/0/0/7/2]1 P1 S 1 3 1 0 6 0x0 34 20 1
combo-loaded-02, combo-loaded, -, -, 1c[2/2/0/2/6]c[2/1/0/1/14]c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/8/8/2gG4/5g[1/0/0/0/0]2/6C[2/2/0/9/7]1/8/1C[2/0/0/4/10]C[2/2/0/2/3]K[2/0/0/8/13]1C[2/0/0/5/12]C[2/0/0/11/12]1 P2 S 0 3 0 0 6 0x0 36 57 1
combo-loaded-03, combo-loaded, -, -, 1c[2/2/0/2/6]1c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/1c[2/1/0/1/14]6/8/8/2g2C[2/2/0/9/7]2/8/4K[2/0/0/8/13]3/1C[2/0/0/4/10]C[2/2/0/2/3]2C[2/2/0/5/12]C[2/0/0/11/12]1 P2 S 0 0 0 0 7 0x0 35 49 1
combo-loaded-04, combo-loaded, -, -, 1c[2/2/0/2/6]1c[2/0/0/3/8]k[2/0/0/4/12]c[2/0/0/12/11]c[2/0/0/9/1]1/1c[2/1/0/1/14]6/8/8/5C[2/2/0/9/7]2/2g[1/0/1/0/0]5/2C[2/2/0/2/3]1K[2/0/0/8/13]1C[2/2/0/5/12]1/1C[2/0/0/4/10]4C[2/0/0/11/12]1 P1 S 1 0 0 0 8 0x0 18 10 1
combo-loaded-05, combo-loaded, -, -, 1c[2/0/0/14/13]1c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/2g3g1/2g1G[1/0/1/0/0]3/2gg1c[2/0/0/13/12]2/8/8/1GG2GG1/1C[2/0/0/7/5]C[2/0/0/2/7]K[2/0/0/1/13]C[2/2/0/11/6]C[2/0/0/7/13]C[2/2/0/6/1]1 P2 S 0 0 0 0 2 0x0 44 60 1
combo-loaded-06, combo-loaded, -, -, 1c[2/0/0/14/13]1c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/2g3g1/8/5c[2/0/0/13/12]2/2gg[1/0/0/0/0]4/3G4/6G1/1C[2/0/0/7/5]C[2/0/0/2/7]K[2/0/0/1/13]C[2/2/0/11/6]C[2/0/0/7/13]C[2/2/0/6/1]1 P2 S 1 4 0 0 4 0x0 43 59 1
combo-loaded-07, combo-loaded, -, -, 1c[2/0/0/14/13]1c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/2g3g1/8/5c[2/0/0/13/12]2/3G4/2g[1/0/1/0/0]5/2C[2/0/0/2/7]3G1/1C[2/0/0/7/5]1K[2/0/0/1/13]C[2/2/0/11/6]C[2/0/0/7/13]C[2/2/0/6/1]1 P1 S 1 4 0 0 5 0x0 18 10 1
combo-loaded-08, combo-loaded, -, -, 1c[2/0/0/14/13]1c[2/0/0/5/14]k[2/0/0/15/2]c[2/0/0/12/11]c[2/0/0/2/15]1/2g3g1/8/5c[2/0/0/13/12]2/3G4/8/2C[2/0/0/2/7]3G1/1C[2/0/0/7/5]1K[2/0/0/1/13]C[2/2/0/11/6]C[2/0/0/7/13]C[2/2/0/6/1]1 P1 S 0 1 0 0 5 0x0 18 10,4 65537
combo-loaded-09, combo-loaded, -, -, 1c[2/0/0/4/3]c[2/0/0/1/15]c[2/0/0/10/1]1c[2/2/0/7/6]c[2/0/0/1/5]1/2g1k[2/0/0/7/5]1g1/8/8/2gg[1/0/0/0/0]3G/7C[2/0/0/3/10]/3C[2/2/0/8/6]4/1C[2/2/0/15/5]1K[2/2/0/10/6]C[2/2/0/15/10]C[2/0/0/12/9]2 P2 S 0 1 7 0 7 0x0 38 52 1
combo-loaded-10, combo-loaded, -, -, 1c[2/0/0/4/3]c[2/0/0/1/15]c[2/0/0/10/1]1c[2/2/0/7/6]c[2/0/0/1/5]1/2g1k[2/0/0/7/5]1g1/8/8/1g[2/0/1/0/0]5G/7C[2/0/0/3/10]/1C[2/2/0/15/5]1C[2/2/0/8/6]1C[2/2/0/15/10]2/3K[2/2/0/10/6]1C[2/0/0/12/9]2 P1 S 1 0 7 0 8 0x0 27,25 9 3
combo-loaded-11, combo-loaded, -, -, 1c[2/0/0/4/3]c[2/0/0/1/15]c[2/0/0/10/1]1c[2/2/0/7/6]c[2/0/0/1/5]1/2g3g1/5k[2/0/0/7/5]2/8/8/2g5/1C[2/1/0/15/5]1C[2/2/0/8/6]1C[2/2/0/15/10]1C[2/0/1/3/10]/3K[2/2/0/10/6]1C[2/0/0/12/9]2 P2 S 0 0 3 0 8 0x0 31,15 45 3
combo-loaded-12, combo-loaded, -, -, 1c[2/0/0/4/3]c[2/0/0/1/15]c[2/0/0/10/1]1c[2/2/0/7/6]c[2/0/0/1/5]1/2g5/4k[1/0/2/7/5]3/5g2/8/2C[2/1/0/8/6]1C[2/2/0/15/10]1C[2/0/0/3/10]1/8/C[2/2/0/15/5]2K[2/2/0/10/6]1C[2/0/0/12/9]2 P1 S 0 0 2 0 10 0x0 44 22,20 65537
combo-loaded-13, combo-loaded, -, -, 3c[2/2/0/5/6]4/1c[2/0/0/11/1]3c[2/0/0/7/4]c[2/0/0/15/11]1/3c[2/0/0/9/15]4/1k[2/0/0/7/13]6/4G3/8/8/1C[2/0/0/12/1]C[2/0/0/12/2]K[2/0/0/7/15]C[2/0/0/1/11]1C[2/0/0/14/10]1 P2 S 1 1 2 0 7 0x0 48 49 1
combo-loaded-14, combo-loaded, -, -, 1c[2/0/0/13/4]c[2/0/0/7/13]c[2/0/0/10/15]k[2/1/0/5/14]c[2/0/0/12/8]c[2/0/0/3/2]1/2g5/2g5/2G2g2/4g[2/0/1/0/0]3/5G2/2G2G2/1C[2/0/0/11/10]C[2/2/0/7/14]K[2/0/0/8/1]C[2/1/0/4/3]C[2/0/0/11/15]C[2/0/0/15/5]1 P1 S 0 0 1 0 4 0x0 28 4 1
combo-loaded-15, combo-loaded, -, -, 1c[2/0/0/13/4]c[2/0/0/7/13]c[2/0/0/10/15]k[2/2/0/5/14]1c[2/2/0/3/2]1/6c[2/0/0/12/8]1/g[2/0/1/0/0]7/3G[1/0/0/0/0]4/3G4/8/8/1C[2/0/0/11/10]C[2/2/0/7/14]K[2/0/0/8/1]C[2/2/0/4/3]C[2/0/0/11/15]C[2/0/0/15/5]1 P1 S 0 2 0 0 7 0x0 40 1 1
combo-loaded-16, combo-loaded, -, -, 1c[2/0/0/13/4]c[2/0/0/7/13]c[2/0/0/10/15]k[2/2/0/5/14]3/5c[2/2/0/3/2]c[2/0/0/12/8]1/8/8/2gG4/8/8/1C[2/0/0/11/10]C[2/2/0/7/14]K[2/0/0/8/1]C[2/2/0/4/3]C[2/0/0/11/15]C[2/0/0/15/5]1 P2 S 1 2 0 0 7 0x0 35 53 1
combo-loaded-17, combo-loaded, -, -, 1c[2/0/0/13/4]1c[2/0/0/10/15]k[2/2/0/5/14]3/1c[2/0/0/7/13]2c[2/2/0/3/2]1c[2/0/0/12/8]1/3G[1/0/1/0/0]4/8/8/8/4C[2/2/0/4/3]3/1C[2/0/0/11/10]C[2/2/0/7/14]K[2/0/0/8/1]1C[2/0/0/11/15]C[2/0/0/15/5]1 P2 S 1 1 0 0 8 0x0 43 52 1
combo-loaded-18, combo-loaded, -, -, 1c[2/0/0/7/1]c[2/0/0/13/11]c[2/2/0/6/7]1c[2/0/0/15/5]c[2/2/0/7/6]1/8/2g5/2gG[2/0/1/0/0]k[2/0/0/3/9]g2/8/1K[2/0/0/9/2]6/5GG1/1C[2/0/0/8/10]C[2/2/0/6/5]1C[2/0/0/15/5]C[2/0/0/2/3]C[2/0/0/1/5]1 P2 S 0 2 2 0 5 0x0 35 36 1
combo-loaded-19, combo-loaded, -, -, 4c[2/0/0/5/8]1k[2/0/0/12/15]1/1c[2/2/0/6/7]6/1C[2/1/1/11/9]c[2/2/0/7/4]2c[2/2/0/6/9]2/8/8/1K[2/1/0/9/12]6/4C[2/0/0/8/4]3/2C[2/0/0/15/8]1C[2/2/0/7/4]1C[2/0/0/12/4]1 P2 S 1 2 3 0 9 0x0 41 42 1
combo-loaded-20, combo-loaded, -, -, 8/1K[2/0/0/9/12]4k[2/0/0/12/15]1/4c[1/0/1/5/8]3/8/1c[2/2/0/6/7]C[2/2/0/7/4]5/5C[2/0/0/12/4]2/8/8 P1 S 2 2 1 0 17 0x0 44 26 1

# --- endgame-with-skills (20 candidates) ---
endgame-with-skills-01, endgame-with-skills, -, -, 4k[2/2/0/5/14]3/1c[2/0/0/13/4]2c[2/0/0/10/15]1c[2/0/0/12/8]1/8/4c[2/1/0/3/2]3/8/8/1C[2/2/0/7/14]1K[2/0/0/8/1]2C[2/0/0/11/15]1/1C[2/1/0/11/10]4C[2/0/0/15/5]1 P1 M 2 4 0 0 12 0x0
endgame-with-skills-02, endgame-with-skills, -, -, 4k[2/2/0/5/14]3/1c[2/0/0/13/4]2c[2/0/0/10/15]1c[2/0/0/12/8]1/8/4c[2/1/0/3/2]3/8/8/1C[2/2/0/7/14]1K[2/0/0/8/1]1C[2/0/0/15/5]C[2/0/0/11/15]1/1C[2/1/0/11/10]6 P1 M 1 4 0 0 12 0x2000
endgame-with-skills-03, endgame-with-skills, -, -, 4k[2/2/0/5/14]3/1c[2/0/0/13/4]2c[2/0/0/10/15]1c[2/0/0/12/8]1/8/4c[2/1/0/3/2]3/8/8/1C[2/2/0/7/14]C[2/2/0/11/10]K[2/0/0/8/1]1C[2/0/0/15/5]C[2/0/0/11/15]1/8 P2 M 2 0 4 0 12 0x0
endgame-with-skills-04, endgame-with-skills, -, -, 8/1K[2/0/0/9/12]4k[2/0/0/12/15]1/4c[2/0/0/5/8]3/8/1c[2/2/0/6/7]C[2/2/0/7/4]5/5C[2/0/0/12/4]2/8/8 P1 M 0 5 2 0 17 0x2000004000000
endgame-with-skills-05, endgame-with-skills, -, -, 8/1K[2/0/0/9/12]4k[2/0/0/12/15]1/4c[2/0/0/5/8]3/8/1c[2/2/0/6/7]C[2/2/0/7/4]5/5C[2/0/0/12/4]2/8/8 P1 S 3 5 2 0 17 0x0
endgame-with-skills-06, endgame-with-skills, -, -, 8/1K[2/0/0/9/12]4k[2/0/0/12/15]1/4c[1/0/0/5/8]3/8/1c[2/2/0/6/7]C[2/2/0/7/4]5/5C[2/0/0/12/4]2/8/8 P2 M 2 2 6 0 17 0x0
endgame-with-skills-07, endgame-with-skills, -, -, 8/1K[2/0/0/9/12]4k[2/0/0/12/15]1/8/8/1c[2/0/0/6/7]C[2/1/0/7/4]1C[1/0/0/12/4]3/8/8/8 P2 M 2 1 5 0 18 0x0
endgame-with-skills-08, endgame-with-skills, -, -, 8/3c[2/0/0/15/14]1k[2/2/0/15/5]c[2/0/0/8/7]1/1c[2/0/0/4/10]6/8/8/4C[1/0/0/5/1]1C[2/0/0/11/4]1/2K[1/0/0/4/7]5/C[2/2/0/6/12]7 P1 M 2 4 0 0 12 0x0
endgame-with-skills-09, endgame-with-skills, -, -, 8/3c[2/0/0/15/14]1k[2/2/0/15/5]c[2/0/0/8/7]1/1c[2/0/0/4/10]6/8/8/4C[1/0/0/5/1]1C[2/0/0/11/4]1/1C[2/2/0/6/12]K[1/0/0/4/7]5/8 P1 M 1 4 0 0 12 0x200
endgame-with-skills-10, endgame-with-skills, -, -, 8/3c[2/0/0/15/14]1k[2/2/0/15/5]c[2/0/0/8/7]1/1c[2/0/0/4/10]6/8/8/3K[1/0/0/4/7]C[2/0/0/5/1]1C[2/0/0/11/4]1/1C[2/2/0/6/12]6/8 P2 M 2 1 4 0 12 0x0
endgame-with-skills-11, endgame-with-skills, -, -, 8/1c[2/0/0/13/15]c[2/0/0/14/11]1k[2/1/0/2/14]1c[2/1/0/11/3]1/8/5c[2/2/0/7/6]2/8/8/1C[2/0/0/14/13]1K[2/0/0/1/2]1C[2/0/0/2/3]1C[2/0/0/1/7]/8 P1 M 2 10 0 0 12 0x0
endgame-with-skills-12, endgame-with-skills, -, -, 8/1c[2/0/0/13/15]c[2/0/0/14/11]1k[2/1/0/2/14]1c[2/1/0/11/3]1/8/5c[2/2/0/7/6]2/8/5C[2/0/0/2/3]2/1C[2/0/0/14/13]1K[2/0/0/1/2]3C[2/0/0/1/7]/8 P1 M 1 10 0 0 12 0x200000
endgame-with-skills-13, endgame-with-skills, -, -, 8/1c[2/0/0/13/15]c[2/0/0/14/11]1k[2/1/0/2/14]1c[2/1/0/11/3]1/8/8/8/5C[2/0/0/2/3]C[2/0/0/1/7]1/1C[2/0/0/14/13]1K[2/0/0/1/2]4/8 P2 M 2 3 4 0 12 0x0
endgame-with-skills-14, endgame-with-skills, -, -, 8/2c[2/0/0/14/11]1k[2/1/0/2/14]1c[2/1/0/11/3]1/1c[2/0/0/13/15]6/8/8/5C[2/0/0/2/3]C[2/0/0/1/7]1/1C[2/0/0/14/13]1K[2/0/0/1/2]4/8 P2 M 1 3 4 0 12 0x20000000000
endgame-with-skills-15, endgame-with-skills, -, -, 4k[2/2/0/15/6]1c[2/2/0/11/6]1/1c[2/0/0/14/3]6/3c[2/2/0/4/15]1c[2/1/0/14/12]2/8/5C[2/2/0/14/6]2/8/1C[1/0/0/4/3]1K[2/2/0/1/15]C[2/2/0/6/4]1C[2/2/0/14/13]1/8 P2 M 2 0 7 0 12 0x0
endgame-with-skills-16, endgame-with-skills, -, -, 4k[2/2/0/15/6]1c[2/2/0/11/6]1/1c[2/0/0/14/3]6/5c[2/1/0/14/12]2/4c[2/2/0/4/15]3/5C[2/2/0/14/6]2/8/1C[1/0/0/4/3]1K[2/2/0/1/15]C[2/2/0/6/4]1C[2/2/0/14/13]1/8 P2 M 1 0 7 0 12 0x1000000000
endgame-with-skills-17, endgame-with-skills, -, -, 6c[2/2/0/11/6]1/1c[2/0/0/14/3]1k[2/2/0/15/6]4/5c[2/1/0/14/12]2/4c[2/2/0/4/15]3/5C[2/2/0/14/6]2/8/3K[2/2/0/1/15]C[2/2/0/6/4]1C[2/2/0/14/13]1/8 P1 M 2 4 2 0 13 0x0
endgame-with-skills-18, endgame-with-skills, -, -, 6c[2/2/0/11/6]1/1c[2/0/0/14/3]1k[2/2/0/15/6]4/5c[2/1/0/14/12]2/4c[2/2/0/4/15]3/5C[2/2/0/14/6]2/4C[2/2/0/6/4]3/3K[2/2/0/1/15]2C[2/2/0/14/13]1/8 P1 M 1 4 2 0 13 0x100000
endgame-with-skills-19, endgame-with-skills, -, -, 4k[2/2/0/8/6]3/1c[2/2/0/5/1]4c[2/0/0/4/13]1/2c[2/0/0/8/2]1c[2/1/0/12/7]3/8/6c[1/0/0/4/11]1/1C[2/2/0/6/8]6/3K[2/2/0/10/1]3C[2/2/0/2/12]/1C[2/2/0/8/14]3C[1/0/0/8/3]C[2/2/0/4/6]1 P1 M 2 4 0 0 12 0x0
endgame-with-skills-20, endgame-with-skills, -, -, 4k[2/2/0/8/6]3/1c[2/2/0/5/1]4c[2/0/0/4/13]1/2c[2/0/0/8/2]1c[2/1/0/12/7]3/8/6c[1/0/0/4/11]1/1C[2/2/0/6/8]4C[2/2/0/2/12]1/3K[2/2/0/10/1]4/1C[2/2/0/8/14]3C[1/0/0/8/3]C[2/2/0/4/6]1 P1 M 1 4 0 0 12 0x400000

# --- king-in-danger (20 candidates) ---
king-in-danger-01, king-in-danger, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/2/0/15/5]c[2/2/0/12/6]1/8/2K[2/0/0/9/5]5/4g[2/1/0/0/0]1C[2/0/0/4/9]1/4G3/8/1C[2/0/0/5/7]6/2C[2/0/0/5/13]2C[2/0/0/7/15]C[2/0/0/7/2]1 P1 S 0 0 3 0 7 0x0
king-in-danger-02, king-in-danger, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/2/0/15/5]c[2/2/0/12/6]1/8/2K[2/0/0/9/5]5/4g[2/1/0/0/0]1C[2/0/0/4/9]1/4G3/8/1C[2/0/0/5/7]6/2C[2/0/0/5/13]2C[2/0/0/7/15]C[2/0/0/7/2]1 P2 M 2 0 6 0 7 0x0
king-in-danger-03, king-in-danger, -, -, 1c[2/0/0/7/14]c[2/0/0/5/2]c[2/0/0/11/10]k[2/0/0/13/5]c[2/2/0/15/5]c[2/2/0/12/6]1/8/2K[2/0/0/9/5]5/4g[2/1/0/0/0]1C[2/0/0/4/9]1/4G3/8/1C[2/0/0/5/7]6/2C[2/0/0/5/13]2C[2/0/0/7/15]C[2/0/0/7/2]1 P2 S 2 0 6 0 7 0x0
king-in-danger-04, king-in-danger, -, -, 3c[2/0/0/3/8]2c[2/0/0/9/1]1/1c[2/2/0/1/14]3c[2/0/0/12/11]2/1c[2/2/0/2/6]1k[2/1/0/4/12]4/8/2C[2/2/0/2/3]2C[2/2/0/9/7]2/8/1C[2/0/0/4/10]2K[1/0/0/8/13]C[2/2/0/11/12]C[2/2/0/5/12]1/8 P2 M 0 1 4 0 10 0xa0000000000
king-in-danger-05, king-in-danger, -, -, 3c[2/0/0/3/8]2c[2/0/0/9/1]1/1c[2/2/0/1/14]3c[2/0/0/12/11]2/1c[2/2/0/2/6]1k[2/1/0/4/12]4/8/2C[2/2/0/2/3]2C[2/2/0/9/7]2/8/1C[2/0/0/4/10]2K[1/0/0/8/13]C[2/2/0/11/12]C[2/2/0/5/12]1/8 P2 S 2 1 4 0 10 0x0
king-in-danger-06, king-in-danger, -, -, 3c[2/0/0/3/8]2c[2/0/0/9/1]1/1c[2/2/0/1/14]3c[2/0/0/12/11]2/1c[2/2/0/2/6]1k[2/1/0/4/12]4/8/2C[2/2/0/2/3]2C[2/1/0/9/7]2/8/1C[2/0/0/4/10]2K[1/0/0/8/13]C[2/2/0/11/12]C[2/2/0/5/12]1/8 P1 M 2 4 0 0 11 0x0
king-in-danger-07, king-in-danger, -, -, 3c[2/0/0/3/8]2c[2/0/0/9/1]1/1c[2/2/0/1/14]3c[2/0/0/12/11]2/1c[2/2/0/2/6]1k[2/1/0/4/12]4/1C[2/2/0/2/3]6/5C[2/1/0/9/7]2/8/1C[2/0/0/4/10]2K[1/0/0/8/13]C[2/2/0/11/12]C[2/2/0/5/12]1/8 P1 M 1 4 0 0 11 0x200000000
king-in-danger-08, king-in-danger, -, -, 1c[2/2/0/13/6]c[2/1/0/9/2]c[2/0/0/8/7]1c[2/0/0/3/10]c[2/0/0/1/11]1/8/8/2g[2/2/0/0/0]1k[1/0/0/9/14]g2/5G2/2C[2/0/0/2/13]5/2G5/1C[2/0/0/10/3]1K[2/0/0/15/11]1C[2/2/0/12/15]C[2/0/0/1/8]1 P1 M 1 3 1 0 7 0x40000
king-in-danger-09, king-in-danger, -, -, 1c[2/2/0/13/6]c[2/1/0/9/2]c[2/0/0/8/7]1c[2/0/0/3/10]c[2/0/0/1/11]1/8/8/2g[2/2/0/0/0]1k[1/0/0/9/14]g2/5G2/2C[2/0/0/2/13]5/2G5/1C[2/0/0/10/3]1K[2/0/0/15/11]1C[2/2/0/12/15]C[2/0/0/1/8]1 P1 S 2 3 1 0 7 0x0
king-in-danger-10, king-in-danger, -, -, 3c[2/0/0/5/14]1c[2/0/0/12/11]c[2/0/0/2/15]1/1c[2/0/0/14/13]6/8/2k[2/0/0/15/2]2c[2/0/0/13/12]2/8/2C[2/0/0/2/7]5/1C[2/0/0/7/5]4C[2/0/0/7/13]1/3K[2/0/0/1/13]C[2/2/0/11/6]1C[2/2/0/6/1]1 P2 M 0 1 3 0 8 0x2000400000000
king-in-danger-11, king-in-danger, -, -, 3c[2/0/0/5/14]1c[2/0/0/12/11]c[2/0/0/2/15]1/1c[2/0/0/14/13]6/8/2k[2/0/0/15/2]2c[2/0/0/13/12]2/8/2C[2/0/0/2/7]5/1C[2/0/0/7/5]4C[2/0/0/7/13]1/3K[2/0/0/1/13]C[2/2/0/11/6]1C[2/2/0/6/1]1 P2 S 2 1 3 0 8 0x0
king-in-danger-12, king-in-danger, -, -, 3c[2/0/0/5/14]1c[2/0/0/12/11]c[2/0/0/2/15]1/1c[2/0/0/14/13]6/8/2k[2/0/0/15/2]2c[2/0/0/13/12]2/8/2C[2/0/0/2/7]5/1C[2/0/0/7/5]4C[2/0/0/7/13]1/3K[2/0/0/1/13]C[2/2/0/11/6]1C[2/2/0/6/1]1 P1 M 2 4 2 0 9 0x0
king-in-danger-13, king-in-danger, -, -, 3c[2/0/0/5/14]1c[2/0/0/12/11]c[2/0/0/2/15]1/1c[2/0/0/14/13]6/8/2k[2/0/0/15/2]2c[2/0/0/13/12]2/1C[2/0/0/2/7]6/8/1C[2/0/0/7/5]4C[2/0/0/7/13]1/3K[2/0/0/1/13]C[2/2/0/11/6]1C[2/2/0/6/1]1 P1 M 1 4 2 0 9 0x2000000
king-in-danger-14, king-in-danger, -, -, 1c[2/0/0/4/3]c[2/0/0/1/15]c[2/0/0/10/1]1c[2/2/0/7/6]c[2/0/0/1/5]1/2g5/8/4k[2/0/0/7/5]g2/8/2C[2/2/0/8/6]5/1C[2/2/0/15/5]3C[2/2/0/15/10]1C[2/0/0/3/10]/3K[2/2/0/10/6]1C[2/0/0/12/9]2 P2 M 0 0 6 0 9 0x3000000000
king-in-danger-15, king-in-danger, -, -, 1c[2/0/0/4/3]c[2/0/0/1/15]c[2/0/0/10/1]1c[2/2/0/7/6]c[2/0/0/1/5]1/2g5/8/4k[2/0/0/7/5]g2/8/2C[2/2/0/8/6]5/1C[2/2/0/15/5]3C[2/2/0/15/10]1C[2/0/0/3/10]/3K[2/2/0/10/6]1C[2/0/0/12/9]2 P2 S 2 0 6 0 9 0x0
king-in-danger-16, king-in-danger, -, -, 1c[2/0/0/4/3]c[2/0/0/1/15]c[2/0/0/10/1]1c[2/2/0/7/6]c[2/0/0/1/5]1/2g5/8/4k[2/0/0/7/5]g2/8/2C[2/1/0/8/6]5/5C[2/2/0/15/10]1C[2/0/0/3/10]/C[2/2/0/15/5]2K[2/2/0/10/6]1C[2/0/0/12/9]2 P1 M 2 4 2 0 10 0x0
king-in-danger-17, king-in-danger, -, -, 1c[2/0/0/4/3]c[2/0/0/1/15]c[2/0/0/10/1]1c[2/2/0/7/6]c[2/0/0/1/5]1/2g5/8/4k[2/0/0/7/5]g2/8/2C[2/1/0/8/6]1C[2/2/0/15/10]3/7C[2/0/0/3/10]/C[2/2/0/15/5]2K[2/2/0/10/6]1C[2/0/0/12/9]2 P1 M 1 4 2 0 10 0x100000
king-in-danger-18, king-in-danger, -, -, 1c[2/0/0/9/15]c[2/0/0/11/1]c[2/2/0/5/6]1c[2/0/0/15/11]c[2/0/0/7/4]1/1g3g2/5g2/1k[2/0/0/7/13]g[1/0/0/0/0]Ggg[1/0/0/0/0]2/2G5/3C[2/0/0/9/15]4/1G3GG1/1C[2/0/0/12/1]C[2/0/0/12/2]K[2/0/0/7/15]C[2/0/0/1/11]1C[2/0/0/14/10]1 P2 S 1 0 0 0 2 0x0
king-in-danger-19, king-in-danger, -, -, 1c[2/0/0/9/15]c[2/0/0/11/1]c[2/2/0/5/6]1c[2/0/0/15/11]c[2/0/0/7/4]1/1g3g2/5g2/1k[2/0/0/7/13]g[1/0/0/0/0]Ggg[1/0/0/0/0]2/2G5/3C[2/0/0/9/15]4/1G3GG1/1C[2/0/0/12/1]C[2/0/0/12/2]K[2/0/0/7/15]C[2/0/0/1/11]1C[2/0/0/14/10]1 P1 M 2 2 0 0 3 0x0
king-in-danger-20, king-in-danger, -, -, 1c[2/0/0/9/15]c[2/0/0/11/1]c[2/2/0/5/6]1c[2/0/0/15/11]c[2/0/0/7/4]1/1g3g2/5g2/1k[2/0/0/7/13]GGgg[1/0/0/0/0]2/8/3C[2/0/0/9/15]4/1G3GG1/1C[2/0/0/12/1]C[2/0/0/12/2]K[2/0/0/7/15]C[2/0/0/1/11]1C[2/0/0/14/10]1 P1 M 1 2 0 0 3 0x400000000
